category,title,description,blogger,date,link,sentiment_score,sentiment_interpretation,search_query,search_lang,collected_at,platform,sort_option,sentiment_method
에너지-조명,[센테니얼대학] [센테니얼대학교] [센테니얼컬리지]... ,warning light or flares flashlight and batteries fire extinguisher Tool Kit. booster cables first aid kit road maps Battery or solar powered radio Traction mats Compass Cloth or roll of... ,캐나다대학전문등록센터,20120514,https://blog.naver.com/kimsunok7/157621029,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Nclex-Rn: Saunders Nursing Review 7 (Level of Cognitive... ,"Hypercalcemia is an oncological emergency and the physician needs to be notified. A... a flashlight or a humming noise. Mineral oil, lidocaine, or an ether-soaked cotton ball (not... ","Behind every fear, lies a wish.",20120514,https://blog.naver.com/sooneehan/60162434054,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Preparedness 101 : Zombie Apocalypse,"(상기 pdf 파일 만화 뒷부분 참조) [ ALL-HAZARDS EMERGENCY KIT ] Assemble the following items to... supply) * Flashlight * Bastter-powered or hand-crank radio * Extra batteries * First aid kit (whistle, antibiotic... ",Career path for CRA,20120702,https://blog.naver.com/alvincha/60165791780,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Slow Speed Rail and the Infrastructure Deficit,That's why residential side streets that only see car and infrequent light truck traffic... But I have no reference on hand for this figure and my memory isn't very good at these... ,Marginal REVOLUTION - Small Steps Toward A Much Better World,20120702,https://marginalrevolution.com/marginalrevolution/2012/07/slow-speed-rail-and-the-infrastructure-deficit.html,1,"대체로 약한 긍정 경향이 나타나며, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에서 기본적인 효용과 실용성이 인정됩니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Unintended air conditioned consequences,"solar powered air-conditioners that use the sun when it's available during the day, when it... I do keep hearing about thin film solar panels or guided-light solar panels and I wonder... ",MetaFilter | Community Weblog,20120710,https://www.metafilter.com/117765/Unintended-air-conditioned-consequences,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Backpacking with your iPhone,"It also acts as a useful backup flashlight, first aid reference, faun & flora guide, and... ELTs (emergency location transmitters) are used by many serious hikers (and dog sledders). It... ",MetaFilter | Community Weblog,20120713,https://www.metafilter.com/117866/Backpacking-with-your-iPhone,1,"대체로 약한 긍정 경향이 나타나며, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에서 기본적인 효용과 실용성이 인정됩니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"REFUELER, 항공기급유차, AVIATION EQUIPMENT",is powered via the vehicle drive train. This pump is mounted to an integral transfer case... Hand crank for manual rewind provided for emergency use only. Optional oerwing reel equipped... ,"(주)유양지에스이, 공항장비,특장차, 소방차",20120717,https://blog.naver.com/aviation2010/150142915909,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,This Is What A Toilet Looks Like When Bill Gates Is... ,Their toilet system is solar powered and generates hydrogen and electricity. Courtesy of... a hand crank that processes waste through a sand filter and an ultraviolet light disinfecting... ,Fast Company,20120820,https://www.fastcompany.com/1680403/this-is-what-a-toilet-looks-like-when-bill-gates-is-involved,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Eton FR 160 과 FR 360 비교표  ^^,"Stay informed and prepared with the self-powered Solarlink FR360 emergency radio. With 4 different power sources, including hand crank and solar power, you can count on access to over... ",호랑 마틴이랑 리키랑,20120828,https://blog.naver.com/touchdown/40166677826,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,조선용어 모음집,Anchor Light 정박등(停泊燈) A Anchor Pattern 앵카 패튼(塗裝의) A Anchor Pocket 앵커 포켓... Back-hand Welding 후진 용접(後進熔接) B Backing Strip 뒷받침 쇠붙이 B Backlash 백 래시... ,전기정보,20120922,https://blog.naver.com/k5808151/50150791450,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"Top 10 Survival List , 자가발전 라디오","Light weight poly-propylene long johns American Red Cross SOLARLINK FR600 Emergency Radio... with Self-Powered Digital AM/FM/SW/NOAA, S.A.M.E. Weather Radio with Flashlight, Siren, Solar... ",사진과 여행하기,20121012,https://blog.naver.com/woorikangsan/20168706578,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Spy Buddies,"[static] Sandy: Cameras that fit up your nose, high-powered magnifying glass, emergency... [they walk again but SpongeBob is shining a light on Plankton from the magnifying glass]... ",스폰지밥 & iCarly,20121101,https://blog.naver.com/mania353/60174733194,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Hanebrink: The Original Fat Electric Bike,"and light weight. Although the tire, wheel combo looks heavy, wheels weigh only one pound... Crystalyte-powered bike would normally not do (Crystalytes are known for having a lot of... ",바라보지 않고 도전하는,20130120,https://blog.naver.com/danius/60181049450,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,레고 키마의 전설 - 무기 [Weapons],"Light as air, and at first glance a quite innocent-looking piece of wood and glass. The wooden staff is carved... When its Chi is powered up, it looks a lot like a spacy icicle. 팡지어스 팡지어스의 칼날처럼... ",박물관,20130124,https://blog.naver.com/dlwnsdn0115/50160733179,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Human-powered equipment,(December 2009) A mechanically powered flashlight. This uses a linear generator and is charged by shaking along its long axis. A hybrid battery/hand-crank radio by Philips. Human... ,모터뱅크-모션 컨트롤 DC모터 소형모터 기어모터 BLDC,20130125,https://blog.naver.com/motorbank01/100177641383,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,RISE OF THE DRONES - Drone Home,"Batteries weren't as light and didn't last as long. Smart phones and tablets still had a... son et lumière 송에뤼미에르 sound-and-light show Up close, the reality is a bit... ",나만의 비밀 영어 사전 (My Secret Dictionary),20130202,https://blog.naver.com/shwon60/70158175756,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,영문 철도용어 :: Civil Engineering,warning light 경고장 letter of warning 경관 식재 scenery planting 경관 차폐 scenery cover... 콘크리트 light weight concrete 경보설비 [장치] alarm [warning] device 경비실 security... ,Civil Engineering :: Civil Engineering,20130408,https://civileng7.tistory.com/2708,-1,"대체로 약한 부정 경향이 나타나며, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에서 일부 기능·편의성·성능에 대한 아쉬움이 보고됩니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"Vocabulary 33,000","Vocabulary 33,000 abase · 우리말 뜻: 떨어 뜨리다, 낮추다; 창피를 주다 · 영어 뜻 혹은 유의어: lower; humiliate · 예문: His refusal to abase himself in the eyes of his... ",ProgramTips,20130412,https://blog.naver.com/programtips/100185834013,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,TRISHUL: Spotlight On Indian Navy's Forthcoming Accretions,"On the other hand, the first two of 17 Hawk Mk132 advanced jet trainers will be delivered... AMX-13 light tanks during the conflict & could well have advanced forward since the PLA by... ",TRISHUL,20130515,http://trishul-trident.blogspot.com/2013/05/spotlight-on-indian-navys-forthcoming.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,After years of dodging outside assessment... Rossi and... ,"After years of dodging outside assessment... Rossi and Cold Fusion May 23, 2013 12:30 PM Subscribe 'Against all probability, a device that purports to use cold fusion to generate vast... ",MetaFilter | Community Weblog,20130523,https://www.metafilter.com/128342/After-years-of-dodging-outside-assessment-Rossi-and-Cold-Fusion,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"'A 'landline' phone, you say?'","Also many old (hand-powered) garden implements. posted by DU at 6:46 AM on May 24, 2013 Non... posted by sandettie light vessel automatic at 7:22 AM on May 24, 2013 [1 favorite] My wife... ",MetaFilter | Community Weblog,20130524,https://www.metafilter.com/128362/A-landline-phone-you-say,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Neatorama,fireman's emergency mattress ... straight onto YouTube infamy! It's unclear whether the... 2-LED Flashlight Ruler Marks Straight Edge Key Ring and Work Light This fantastic tool comes... ,An Ignoble Experiment,20130527,https://ignoble-experiment.blogspot.com/2013/05/neatorama_27.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,The Cars-in-a-barn Urban Legend that is Real,"The Lambrecht Chevrolet Company closed its doors some years ago, and the inventory, which hasn't seen the light of day in 40 years or more, will be auctioned off on the 28 and 29th of... ",MetaFilter | Community Weblog,20130630,https://www.metafilter.com/129548/The-Carsinabarn-Urban-Legend-that-is-Real,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,TIME - Drone Home   7.21,"Batteries weren't as light and didn't last as long. Smart phones and tablets still had a long way to go, as did the hyperminiaturized sensors with which the Parrot is studded: an... ",INSPIRATIONAL,20130721,https://blog.naver.com/kittysjl/150172321344,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,Locavorism: threat or menace?,"planetary emergency. There are solid critiques of the concept of food miles, it certainly... What if the Netherlands hothouse was nuclear powered? Or the trucks from Italy bio-diesel... ",MetaFilter | Community Weblog,20130810,https://www.metafilter.com/130827/Locavorism-threat-or-menace,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,+ 비상사태 발생시 - 준비해야 할 20가지 필수품 목록,your emergency storage. A 72-hour supply is the bare minimum. A water filter can help you extend you supply by allowing you to reuse cooking water. 18. Hand-Crank Radio – Hand crank radios... ,H✪ SPACE,20130822,https://blog.naver.com/ho_space/90179636618,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,All schoolwork and no play makes Jack more likely to be... ,"Ooh, not to mention flashlight tag and midnight roaming. posted by Ray Walston, Luck Dragon... of self directed play. I also found the point about there being little to no bullying in... ",MetaFilter | Community Weblog,20130919,https://www.metafilter.com/132123/All-schoolwork-and-no-play-makes-Jack-more-likely-to-be-depressed,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"허리케인, 홍수, 지진등 재난시 제시될만한 주거방안","Since it's entirely self-contained, a number of units can be shipped together to their destination of need. It's solar powered, too. FutureShack by Sean Godsell Other Emergency Container... ",anywhere,20130922,https://blog.naver.com/mosys/90181496527,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,최신 LED램프 디자인 & 전철 디스플레이,"by hand – for direct or indirect light. Six dimmable, powerful LEDs spread a warm-white... Life-Light Life-Light is a directional system that leads people to shelter in an emergency... ",LED 세상의 빛을 바꾸다,20131103,https://blog.naver.com/tutu5191/40200133822,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,영드 셜록(Sherlock) S02 E03,"One tourist wearing jeans, trainers, a light grey jacket and a cap with “London”... VOICE (repeatedly) This is an emergency. Please leave the building. (The tourists start to hurry... ",HS공장,20131124,https://blog.naver.com/shinhoss/70179885139,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,고2영어어법자료,"1. 다음 빈 칸에 들어갈 말로 가장 알맞은 것은? In the long run, you'll make fewer mistakes. And if people have made mistakes that have hurt you or affected you negatively, you... ",비원에듀 [BEONE EDU],20131126,https://blog.naver.com/thstlflq/60204298304,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,[TDK] 고담 타임즈 2007년 11월 23일호,"upper hand, police sources told The Times. The violence was expected to continue into today... ' The Health Commission declared a medical emergency and waived patient limits at mental... ",DC FILMS & UNIVERSE,20131206,https://blog.naver.com/dcuniverse/50184457009,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,TRISHUL: Tejas Mk1 MRCA’s Projected Operational... ,"a light MRCA like Tejas Mk1, or carry twin jettisonable external fuel-tanks along with... user-friendly light MRCA. 2) In the CAS role, the Tejas Mk1 will be required to target mostly... ",TRISHUL,20131226,http://trishul-trident.blogspot.com/2013/12/tejas-mk1-mrcas-projected-operational.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,사업용 - 단계평가 2,비행기 제조사가 제공하는 랜딩기어 emergency extension을 수행하기 위한 4가지 일반적인 방법들이 아닌 것은? 라 가. Gravity free-fall 나. Hand crank 다. Gas pressure discharge 라.... ,HAVE A NICE DAY,20140105,https://blog.naver.com/moonkangsik/10182999962,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"美워싱턴포스트, 中 휩쓴 별에서 온 그대 열풍 1면보도",The selection of homeless family members trying to get emergency shelter has more than doubled... Town officers stated that they do have a offer of electric powered heaters they put in rooms... ,축복받은 삶,20140309,https://blog.naver.com/daehyunceo8/80208886749,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,"Summers, Lomborg, Tabarrok, and Cowen on climate change","with self-reinforcing trends (such as a weaker gulf current via reduced salt concentration... an emergency brake or failsafe we can use in case of catastrophic climate change, namely... ",Marginal REVOLUTION - Small Steps Toward A Much Better World,20140311,https://marginalrevolution.com/marginalrevolution/2014/03/summers-lomborg-cowen-and-tabarrok-on-climate-change.html,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
에너지-조명,AT THE KILLING CENTERS / From fertiliser to Zyklon B... ,"On the other hand, there are all the environmental impacts that a soaring world population, sustained by Haber fertilisers, have had. In addition, there is the pollution triggered by... ",INTERNATIONAL RICH ECONOMICS RESEARCH INSTITUTE,20140327,https://blog.naver.com/songturbo315/100208151721,0,"긍정과 부정이 혼재하거나 뚜렷한 감정 표현이 적어, 에너지-조명(수동발전 랜턴 등) 제품에 대한 평가에 대해 중립에 가까운 평가가 많습니다.",hand crank emergency lantern self powered flashlight emergency light,en,2025-01-15,naver_blog,date,rule_based_custom_korean_lexicon_v1
